7.1.83 Rob-21
Location,Type,Scene,Dungeon/Overworld
Hideout Near Kitchen Crate 4,Crate,Thieves' Hideout,Overworld
Hideout Near Kitchen Crate 5,Crate,Thieves' Hideout,Overworld
Hideout 2 Torch Jail Crate 1,Crate,Thieves' Hideout,Overworld
Hideout 2 Torch Jail Crate 2,Crate,Thieves' Hideout,Overworld
Hideout Break Room Wonderitem 1,Wonderitem,Thieves' Hideout,Overworld
Hideout Break Room Wonderitem 2,Wonderitem,Thieves' Hideout,Overworld
Hideout 3 Torch Jail Wonderitem 1,Wonderitem,Thieves' Hideout,Overworld
Hideout 3 Torch Jail Wonderitem 2,Wonderitem,Thieves' Hideout,Overworld
Hideout 1 Torch Jail Wonderitem 1,Wonderitem,Thieves' Hideout,Overworld
Hideout 1 Torch Jail Wonderitem 2,Wonderitem,Thieves' Hideout,Overworld
Hideout Kitchen Stove Wonderitem,Wonderitem,Thieves' Hideout,Overworld
Hideout Kitchen Wonderitem,Wonderitem,Thieves' Hideout,Overworld
Hideout 4 Torch Jail Wonderitem 1,Wonderitem,Thieves' Hideout,Overworld
Hideout 4 Torch Jail Wonderitem 2,Wonderitem,Thieves' Hideout,Overworld
Hideout 2 Torch Jail Wonderitem 1,Wonderitem,Thieves' Hideout,Overworld
Hideout 2 Torch Jail Wonderitem 2,Wonderitem,Thieves' Hideout,Overworld
Wasteland Bombchu Salesman,NPC,Haunted Wasteland,Overworld
Wasteland Chest,Chest,Haunted Wasteland,Overworld
Wasteland GS,GS Token,Volvagia's Lair,Overworld
Wasteland Near GS Pot 1,Pot,Haunted Wasteland,Overworld
Wasteland Near GS Pot 2,Pot,Haunted Wasteland,Overworld
Wasteland Near GS Pot 3,Pot,Haunted Wasteland,Overworld
Wasteland Crate Before Quicksand,Crate,Haunted Wasteland,Overworld
Wasteland Crate After Quicksand 1,Crate,Haunted Wasteland,Overworld
Wasteland Crate After Quicksand 2,Crate,Haunted Wasteland,Overworld
Wasteland Crate After Quicksand 3,Crate,Haunted Wasteland,Overworld
Wasteland Crate Near Colossus,Crate,Haunted Wasteland,Overworld
Colossus Great Fairy Reward,Cutscene,,Overworld
Colossus Freestanding PoH,Collectable,Desert Colossus,Overworld
Colossus Deku Scrub Grotto Front,GrottoScrub,,Overworld
Colossus Deku Scrub Grotto Rear,GrottoScrub,,Overworld
Colossus GS Bean Patch,GS Token,Volvagia's Lair,Overworld
Colossus GS Tree,GS Token,Volvagia's Lair,Overworld
Colossus GS Hill,GS Token,Volvagia's Lair,Overworld
Colossus Grotto Beehive,Beehive,Grottos,Overworld
Colossus Gossip Stone Drop,GossipStone,Desert Colossus,Overworld
Colossus Child Guay 1,EnemyDrop,Desert Colossus,Overworld
Colossus Child Guay 2,EnemyDrop,Desert Colossus,Overworld
Colossus Child Guay 3,EnemyDrop,Desert Colossus,Overworld
Colossus Adult Guay 1,EnemyDrop,Desert Colossus,Overworld
Colossus Adult Guay 2,EnemyDrop,Desert Colossus,Overworld
Colossus Adult Guay 3,EnemyDrop,Desert Colossus,Overworld
Colossus Adult Guay 4,EnemyDrop,Desert Colossus,Overworld
Colossus Adult Guay 5,EnemyDrop,Desert Colossus,Overworld
Colossus Tree Wonderitem 1,Wonderitem,Desert Colossus,Overworld
Colossus Tree Wonderitem 2,Wonderitem,Desert Colossus,Overworld
Colossus Tree Wonderitem 3 Child,Wonderitem,Desert Colossus,Overworld
Colossus Tree Wonderitem 4,Wonderitem,Desert Colossus,Overworld
Colossus Tree Wonderitem 5,Wonderitem,Desert Colossus,Overworld
OGC Great Fairy Reward,Cutscene,,Overworld
OGC GS,GS Token,Ganon's Tower (Collapsing),Overworld
Deku Tree Map Chest,Chest,Inside the Deku Tree,Vanilla
Deku Tree Slingshot Room Side Chest,Chest,Inside the Deku Tree,Vanilla
Deku Tree Slingshot Chest,Chest,Inside the Deku Tree,Vanilla
Deku Tree Compass Chest,Chest,Inside the Deku Tree,Vanilla
Deku Tree Compass Room Side Chest,Chest,Inside the Deku Tree,Vanilla
Deku Tree Basement Chest,Chest,Inside the Deku Tree,Vanilla
Deku Tree GS Compass Room,GS Token,Inside the Deku Tree,Vanilla
Deku Tree GS Basement Vines,GS Token,Inside the Deku Tree,Vanilla
Deku Tree GS Basement Gate,GS Token,Inside the Deku Tree,Vanilla
Deku Tree GS Basement Back Room,GS Token,Inside the Deku Tree,Vanilla
Deku Tree Lower Lobby Recovery Heart,Freestanding,Inside the Deku Tree,Vanilla
Deku Tree Upper Lobby Recovery Heart,Freestanding,Inside the Deku Tree,Vanilla
Deku Tree Basement Recovery Heart 1,Freestanding,Inside the Deku Tree,Vanilla
Deku Tree Basement Recovery Heart 2,Freestanding,Inside the Deku Tree,Vanilla
Deku Tree Basement Recovery Heart 3,Freestanding,Inside the Deku Tree,Vanilla
Deku Tree Vines Lowest Skullwalltula,EnemyDrop,Inside the Deku Tree,Vanilla
Deku Tree Vines Left Lower Skullwalltula,EnemyDrop,Inside the Deku Tree,Vanilla
Deku Tree Vines Upper Skullwalltula,EnemyDrop,Inside the Deku Tree,Vanilla
Deku Tree Compass Room Skulltula,EnemyDrop,Inside the Deku Tree,Vanilla
Deku Tree Web Skulltula 1,EnemyDrop,Inside the Deku Tree,Vanilla
Deku Tree Web Skulltula 2,EnemyDrop,Inside the Deku Tree,Vanilla
Deku Tree Web Skulltula 3,EnemyDrop,Inside the Deku Tree,Vanilla
Deku Tree Rotating Spike Skulltula,EnemyDrop,Inside the Deku Tree,Vanilla
Deku Tree Basement Back Room Skulltula,EnemyDrop,Inside the Deku Tree,Vanilla
Deku Tree Basement Back Room Gohma Larva 1,EnemyDrop,Inside the Deku Tree,Vanilla
Deku Tree Basement Back Room Gohma Larva 2,EnemyDrop,Inside the Deku Tree,Vanilla
Deku Tree Basement Back Room Gohma Larva 3,EnemyDrop,Inside the Deku Tree,Vanilla
Deku Tree Basement Back Room Near GS Skulltula,EnemyDrop,Inside the Deku Tree,Vanilla
Deku Tree MQ Map Chest,Chest,Inside the Deku Tree,MQ
Deku Tree MQ Slingshot Chest,Chest,Inside the Deku Tree,MQ
Deku Tree MQ Slingshot Room Back Chest,Chest,Inside the Deku Tree,MQ
Deku Tree MQ Compass Chest,Chest,Inside the Deku Tree,MQ
Deku Tree MQ Basement Chest,Chest,Inside the Deku Tree,MQ
Deku Tree MQ Before Spinning Log Chest,Chest,Inside the Deku Tree,MQ
Deku Tree MQ After Spinning Log Chest,Chest,Inside the Deku Tree,MQ
Deku Tree MQ Deku Scrub,Scrub,Inside the Deku Tree,MQ
Deku Tree MQ GS Lobby,GS Token,Inside the Deku Tree,MQ
Deku Tree MQ GS Compass Room,GS Token,Inside the Deku Tree,MQ
Deku Tree MQ GS Basement Graves Room,GS Token,Inside the Deku Tree,MQ
Deku Tree MQ GS Basement Back Room,GS Token,Inside the Deku Tree,MQ
Deku Tree MQ Lower Lobby Recovery Heart,Freestanding,Inside the Deku Tree,MQ
Deku Tree MQ Near Compass Room Recovery Heart,Freestanding,Inside the Deku Tree,MQ
Deku Tree MQ Compass Room Recovery Heart,Freestanding,Inside the Deku Tree,MQ
Deku Tree MQ Basement Recovery Heart 1,Freestanding,Inside the Deku Tree,MQ
Deku Tree MQ Basement Recovery Heart 2,Freestanding,Inside the Deku Tree,MQ
Deku Tree MQ Basement Recovery Heart 3,Freestanding,Inside the Deku Tree,MQ
Deku Tree MQ Slingshot Room Recovery Heart,Freestanding,Inside the Deku Tree,MQ
Deku Tree MQ Lobby Crate,Crate,Inside the Deku Tree,MQ
Deku Tree MQ Slingshot Room Crate 1,Crate,Inside the Deku Tree,MQ
Deku Tree MQ Slingshot Room Crate 2,Crate,Inside the Deku Tree,MQ
Deku Tree MQ Lobby Lower Keese,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Lobby Upper Keese,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Lobby Vines Skullwalltula,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Lobby Gohma Larva 1,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Lobby Gohma Larva 2,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Before Compass Gohma Larva 1,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Before Compass Gohma Larva 2,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Compass Room Left Skullwalltula,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Compass Room Right Skullwalltula,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Compass Room Skulltula,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Compass Room Gohma Larva 1,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Compass Room Gohma Larva 2,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Slingshot Room Gohma Larva 1,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Slingshot Room Gohma Larva 2,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Slingshot Room Gohma Larva 3,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Slingshot Room Gohma Larva 4,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Slingshot Room Gohma Larva 5,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Slingshot Room Gohma Larva 6,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Basement Torches Deku Scrub,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Basement Torches Gohma Larva 1,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Basement Torches Gohma Larva 2,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Basement Torches Gohma Larva 3,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Spike Roller Skulltula,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Spike Roller Gohma Larva,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Basement Larva Room Keese,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Basement Larva Room Gohma Larva 1,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Basement Larva Room Gohma Larva 2,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Basement Larva Room Gohma Larva 3,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Basement Larva Room Gohma Larva 4,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Basement Larva Room Gohma Larva 5,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Basement Larva Room Gohma Larva 6,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Basement Larva Room Gohma Larva 7,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Basement Larva Room Gohma Larva 8,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Basement Graves Room Keese 1,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Basement Graves Room Keese 2,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Basement Graves Room Keese 3,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Basement Graves Room Keese 4,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Basement Back Room Gohma Larva 1,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Basement Back Room Gohma Larva 2,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Basement Back Room Gohma Larva 3,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Basement Back Room Gohma Larva 4,EnemyDrop,Inside the Deku Tree,MQ
Deku Tree MQ Basement Graves Wonderitem 1,Wonderitem,Inside the Deku Tree,MQ
Deku Tree MQ Basement Graves Wonderitem 2,Wonderitem,Inside the Deku Tree,MQ
Deku Tree MQ Basement Graves Wonderitem 3,Wonderitem,Inside the Deku Tree,MQ
Deku Tree MQ Basement Graves Wonderitem 4,Wonderitem,Inside the Deku Tree,MQ
Deku Tree Queen Gohma Heart,BossHeart,Gohma's Lair,Vanilla/MQ
Dodongos Cavern Map Chest,Chest,Dodongo's Cavern,Vanilla
Dodongos Cavern Compass Chest,Chest,Dodongo's Cavern,Vanilla
Dodongos Cavern Bomb Flower Platform Chest,Chest,Dodongo's Cavern,Vanilla
Dodongos Cavern Bomb Bag Chest,Chest,Dodongo's Cavern,Vanilla
Dodongos Cavern End of Bridge Chest,Chest,Dodongo's Cavern,Vanilla
Dodongos Cavern Deku Scrub Side Room Near Dodongos,Scrub,Dodongo's Cavern,Vanilla
Dodongos Cavern Deku Scrub Lobby,Scrub,Dodongo's Cavern,Vanilla
Dodongos Cavern Deku Scrub Near Bomb Bag Left,Scrub,Dodongo's Cavern,Vanilla
Dodongos Cavern Deku Scrub Near Bomb Bag Right,Scrub,Dodongo's Cavern,Vanilla
Dodongos Cavern GS Side Room Near Lower Lizalfos,GS Token,Dodongo's Cavern,Vanilla
Dodongos Cavern GS Scarecrow,GS Token,Dodongo's Cavern,Vanilla
Dodongos Cavern GS Alcove Above Stairs,GS Token,Dodongo's Cavern,Vanilla
Dodongos Cavern GS Vines Above Stairs,GS Token,Dodongo's Cavern,Vanilla
Dodongos Cavern GS Back Room,GS Token,Dodongo's Cavern,Vanilla
Dodongos Cavern Lizalfos Upper Recovery Heart 1,Freestanding,Dodongo's Cavern,Vanilla
Dodongos Cavern Lizalfos Upper Recovery Heart 2,Freestanding,Dodongo's Cavern,Vanilla
Dodongos Cavern Blade Room Behind Block Recovery Heart,Freestanding,Dodongo's Cavern,Vanilla
Dodongos Cavern Right Side Pot 1,Pot,Dodongo's Cavern,Vanilla
Dodongos Cavern Right Side Pot 2,Pot,Dodongo's Cavern,Vanilla
Dodongos Cavern Right Side Pot 3,Pot,Dodongo's Cavern,Vanilla
Dodongos Cavern Right Side Pot 4,Pot,Dodongo's Cavern,Vanilla
Dodongos Cavern Right Side Pot 5,Pot,Dodongo's Cavern,Vanilla
Dodongos Cavern Right Side Pot 6,Pot,Dodongo's Cavern,Vanilla
Dodongos Cavern Lower Lizalfos Pot 1,Pot,Dodongo's Cavern,Vanilla
Dodongos Cavern Lower Lizalfos Pot 2,Pot,Dodongo's Cavern,Vanilla
Dodongos Cavern Lower Lizalfos Pot 3,Pot,Dodongo's Cavern,Vanilla
Dodongos Cavern Lower Lizalfos Pot 4,Pot,Dodongo's Cavern,Vanilla
Dodongos Cavern Torch Room Pot 1,Pot,Dodongo's Cavern,Vanilla
Dodongos Cavern Torch Room Pot 2,Pot,Dodongo's Cavern,Vanilla
Dodongos Cavern Torch Room Pot 3,Pot,Dodongo's Cavern,Vanilla
Dodongos Cavern Torch Room Pot 4,Pot,Dodongo's Cavern,Vanilla
Dodongos Cavern Staircase Pot 1,Pot,Dodongo's Cavern,Vanilla
Dodongos Cavern Staircase Pot 2,Pot,Dodongo's Cavern,Vanilla
Dodongos Cavern Staircase Pot 3,Pot,Dodongo's Cavern,Vanilla
Dodongos Cavern Staircase Pot 4,Pot,Dodongo's Cavern,Vanilla
Dodongos Cavern Last Block Pot 1,Pot,Dodongo's Cavern,Vanilla
Dodongos Cavern Last Block Pot 2,Pot,Dodongo's Cavern,Vanilla
Dodongos Cavern Last Block Pot 3,Pot,Dodongo's Cavern,Vanilla
Dodongos Cavern Blade Room Pot 1,Pot,Dodongo's Cavern,Vanilla
Dodongos Cavern Blade Room Pot 2,Pot,Dodongo's Cavern,Vanilla
Dodongos Cavern Single Eye Switch Room Pot 1,Pot,Dodongo's Cavern,Vanilla
Dodongos Cavern Single Eye Switch Room Pot 2,Pot,Dodongo's Cavern,Vanilla
Dodongos Cavern Double Eye Switch Room Pot 1,Pot,Dodongo's Cavern,Vanilla
Dodongos Cavern Double Eye Switch Room Pot 2,Pot,Dodongo's Cavern,Vanilla
Dodongos Cavern Gossip Stone Drop,GossipStone,Dodongo's Cavern,Vanilla
Dodongos Cavern Beamos Left Side,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Beamos Right Side,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Beamos Center,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Right Side Baby Dodongo 1,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Right Side Baby Dodongo 2,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Right Side Baby Dodongo 3,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Right Side Baby Dodongo 4,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Right Side Baby Dodongo 5,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Right Side Baby Dodongo 6,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Right Side Keese 1,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Right Side Keese 2,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Lower Lizalfos 1,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Lower Lizalfos 2,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Torch Room Dodongo 1,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Torch Room Dodongo 2,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Torch Room Dodongo 3,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Side Room Near Lower Lizalfos Keese 1,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Side Room Near Lower Lizalfos Keese 2,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Side Room Near Lower Lizalfos Keese 3,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Compass Room Armos,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Staircase Skullwalltula,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Climb Switch Room Armos 1,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Climb Switch Room Armos 2,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Climb Switch Room Armos 3,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Climb Switch Room Keese 1,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Climb Switch Room Keese 2,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Upper Bridge Keese 1,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Upper Bridge Keese 2,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Before Upper Lizalfos Baby Dodongo 1,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Before Upper Lizalfos Baby Dodongo 2,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Before Upper Lizalfos Baby Dodongo 3,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Upper Lizalfos 1,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Upper Lizalfos 2,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Before Boss Keese 1,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Before Boss Keese 2,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Before Back Room Keese 1,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Before Back Room Keese 2,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern Back Room Armos,EnemyDrop,Dodongo's Cavern,Vanilla
Dodongos Cavern MQ Map Chest,Chest,Dodongo's Cavern,MQ
Dodongos Cavern MQ Bomb Bag Chest,Chest,Dodongo's Cavern,MQ
Dodongos Cavern MQ Torch Puzzle Room Chest,Chest,Dodongo's Cavern,MQ
Dodongos Cavern MQ Larvae Room Chest,Chest,Dodongo's Cavern,MQ
Dodongos Cavern MQ Compass Chest,Chest,Dodongo's Cavern,MQ
Dodongos Cavern MQ Under Grave Chest,Chest,Dodongo's Cavern,MQ
Dodongos Cavern MQ Deku Scrub Lobby Front,Scrub,Dodongo's Cavern,MQ
Dodongos Cavern MQ Deku Scrub Lobby Rear,Scrub,Dodongo's Cavern,MQ
Dodongos Cavern MQ Deku Scrub Side Room Near Lower Lizalfos,Scrub,Dodongo's Cavern,MQ
Dodongos Cavern MQ Deku Scrub Staircase,Scrub,Dodongo's Cavern,MQ
Dodongos Cavern MQ GS Scrub Room,GS Token,Dodongo's Cavern,MQ
Dodongos Cavern MQ GS Larvae Room,GS Token,Dodongo's Cavern,MQ
Dodongos Cavern MQ GS Lizalfos Room,GS Token,Dodongo's Cavern,MQ
Dodongos Cavern MQ GS Song of Time Block Room,GS Token,Dodongo's Cavern,MQ
Dodongos Cavern MQ GS Back Area,GS Token,Dodongo's Cavern,MQ
Dodongos Cavern MQ Torch Puzzle Room Recovery Heart,Freestanding,Dodongo's Cavern,MQ
Dodongos Cavern MQ Right Side Pot 1,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ Right Side Pot 2,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ Right Side Pot 3,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ Right Side Pot 4,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ Staircase Pot 1,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ Staircase Pot 2,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ Staircase Pot 3,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ Staircase Pot 4,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ Upper Lizalfos Pot 1,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ Upper Lizalfos Pot 2,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ Upper Lizalfos Pot 3,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ Upper Lizalfos Pot 4,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ Poes Room Pot 1,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ Poes Room Pot 2,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ Poes Room Pot 3,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ Poes Room Pot 4,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ Room Before Boss Pot 1,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ Room Before Boss Pot 2,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ Armos Army Room Upper Pot,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ Armos Army Room Pot 1,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ Armos Army Room Pot 2,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ Torch Puzzle Room Pot Pillar,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ Torch Puzzle Room Pot Corner,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ Before Upper Lizalfos Pot 1,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ Before Upper Lizalfos Pot 2,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ After Upper Lizalfos Pot 1,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ After Upper Lizalfos Pot 2,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ Back Poe Room Pot 1,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ Back Poe Room Pot 2,Pot,Dodongo's Cavern,MQ
Dodongos Cavern MQ Staircase Crate Bottom Left,Crate,Dodongo's Cavern,MQ
Dodongos Cavern MQ Staircase Crate Bottom Right,Crate,Dodongo's Cavern,MQ
Dodongos Cavern MQ Staircase Crate Mid Left,Crate,Dodongo's Cavern,MQ
Dodongos Cavern MQ Staircase Crate Top Left,Crate,Dodongo's Cavern,MQ
Dodongos Cavern MQ Staircase Crate Mid Right,Crate,Dodongo's Cavern,MQ
Dodongos Cavern MQ Staircase Crate Top Right,Crate,Dodongo's Cavern,MQ
Dodongos Cavern MQ Poes Room Crate 5,Crate,Dodongo's Cavern,MQ
Dodongos Cavern MQ Poes Room Crate 6,Crate,Dodongo's Cavern,MQ
Dodongos Cavern MQ Poes Room Crate 1,Crate,Dodongo's Cavern,MQ
Dodongos Cavern MQ Poes Room Crate 2,Crate,Dodongo's Cavern,MQ
Dodongos Cavern MQ Poes Room Crate 3,Crate,Dodongo's Cavern,MQ
Dodongos Cavern MQ Poes Room Crate 4,Crate,Dodongo's Cavern,MQ
Dodongos Cavern MQ Poes Room Crate Near Bomb Flower,Crate,Dodongo's Cavern,MQ
Dodongos Cavern MQ Poes Room Crate 7,Crate,Dodongo's Cavern,MQ
Dodongos Cavern MQ Larvae Room Crate 1,Crate,Dodongo's Cavern,MQ
Dodongos Cavern MQ Larvae Room Crate 2,Crate,Dodongo's Cavern,MQ
Dodongos Cavern MQ Larvae Room Crate 3,Crate,Dodongo's Cavern,MQ
Dodongos Cavern MQ Larvae Room Crate 4,Crate,Dodongo's Cavern,MQ
Dodongos Cavern MQ Larvae Room Crate 5,Crate,Dodongo's Cavern,MQ
Dodongos Cavern MQ Larvae Room Crate 6,Crate,Dodongo's Cavern,MQ
Dodongos Cavern MQ After Upper Lizalfos Crate 1,Crate,Dodongo's Cavern,MQ
Dodongos Cavern MQ After Upper Lizalfos Crate 2,Crate,Dodongo's Cavern,MQ
Dodongos Cavern MQ Staircase Silver Rupee Beamos,SilverRupee,Dodongo's Cavern,MQ
Dodongos Cavern MQ Staircase Silver Rupee Lower Crate,SilverRupee,Dodongo's Cavern,MQ
Dodongos Cavern MQ Staircase Silver Rupee Mid Left Crate,SilverRupee,Dodongo's Cavern,MQ
Dodongos Cavern MQ Staircase Silver Rupee Vines,SilverRupee,Dodongo's Cavern,MQ
Dodongos Cavern MQ Staircase Silver Rupee Top Right Crate,SilverRupee,Dodongo's Cavern,MQ
Dodongos Cavern MQ Right Side Skulltula,EnemyDrop,Dodongo's Cavern,MQ
Dodongos Cavern MQ Right Side Keese,EnemyDrop,Dodongo's Cavern,MQ
Dodongos Cavern MQ Right Side Baby Dodongo 1,EnemyDrop,Dodongo's Cavern,MQ
Dodongos Cavern MQ Right Side Baby Dodongo 2,EnemyDrop,Dodongo's Cavern,MQ
Dodongos Cavern MQ Staircase Beamos 1,EnemyDrop,Dodongo's Cavern,MQ
Dodongos Cavern MQ Staircase Beamos 2,EnemyDrop,Dodongo's Cavern,MQ
Dodongos Cavern MQ Staircase Skulltula 1,EnemyDrop,Dodongo's Cavern,MQ
Dodongos Cavern MQ Staircase Skulltula 2,EnemyDrop,Dodongo's Cavern,MQ
Dodongos Cavern MQ Lower Lizalfos 1,EnemyDrop,Dodongo's Cavern,MQ
Dodongos Cavern MQ Lower Lizalfos 2,EnemyDrop,Dodongo's Cavern,MQ
Dodongos Cavern MQ Upper Lizalfos 1,EnemyDrop,Dodongo's Cavern,MQ
Dodongos Cavern MQ Upper Lizalfos 2,EnemyDrop,Dodongo's Cavern,MQ
Dodongos Cavern MQ Compass Room Dodongo 1,EnemyDrop,Dodongo's Cavern,MQ
Dodongos Cavern MQ Compass Room Dodongo 2,EnemyDrop,Dodongo's Cavern,MQ
Dodongos Cavern MQ Compass Room Dodongo 3,EnemyDrop,Dodongo's Cavern,MQ
Dodongos Cavern MQ Larvae Room Gohma Larva 1,EnemyDrop,Dodongo's Cavern,MQ
Dodongos Cavern MQ Larvae Room Gohma Larva 2,EnemyDrop,Dodongo's Cavern,MQ
Dodongos Cavern MQ Larvae Room Gohma Larva 3,EnemyDrop,Dodongo's Cavern,MQ
Dodongos Cavern MQ Larvae Room Gohma Larva 4,EnemyDrop,Dodongo's Cavern,MQ
Dodongos Cavern MQ Larvae Room Gohma Larva 5,EnemyDrop,Dodongo's Cavern,MQ
Dodongos Cavern MQ Before Boss Baby Dodongo 1,EnemyDrop,Dodongo's Cavern,MQ
